Brad_Deuster,Fri Jan 29 22:09:25 +0000 2021,-88.008198,44.523173,@Big_loags @ewarren Angers me. We are in a pandemic. 400k dead. No real 2nd stimulus. Every Friday behind my post o�� https://t.co/BK698tzcla,,,,,
gofiliberto,Fri Jan 29 22:11:57 +0000 2021,-118.411907,34.020789,In addition to the awful impact the pandemic has had on women,we can��t overlook the toll it has taken on students,�� https://t.co/BEVGemdyDc,,,
ChuckDonigian,Fri Jan 29 22:12:33 +0000 2021,-92.258087,38.769987,Even Roy see��s the failure of our state government during the pandemic.,,,,,
BluezBayouz,Fri Jan 29 22:13:23 +0000 2021,-93.208902,30.331407,@blueskydigstrat @AndrewYang 3 of the last 4 before pandemic is a helluva lot better than the next 4 Boulder ever h�� https://t.co/e8shEsS5dI,,,,,
matt__enloe,Fri Jan 29 22:14:10 +0000 2021,-87.732013,41.833585,Waiting for an Uber to drive me home because it's a pandemic and public transit is too risky is not the exact Harve�� https://t.co/PA1lFu1KNJ,,,,,
xnyosha,Fri Jan 29 22:14:27 +0000 2021,-88.200334,40.115085,working in this hospital during the entire pandemic has literally burned me out.,,,,,
mamma_tanya,Fri Jan 29 22:14:54 +0000 2021,-79.27257,43.629311,@rongho6 @CP24 I��m comparing being trapped in a country to Castro,yes. Quarantining incoming travellers aids in co�� https://t.co/oX87OOp1Wc,,,,
YHopeOsborn,Fri Jan 29 22:15:52 +0000 2021,-92.342322,34.721886,@OldeHippieDude @kevinunexpected @UlaneVuorio @VONSTERFITNESS1 @VClinebarton @XandraXandraBX @XeniaKaepernick�� https://t.co/ecP78JdPwR,,,,,
_garrettshaw,Fri Jan 29 22:15:59 +0000 2021,-83.139281,40.125273,@BrockNaill_55 @bakermayfield I mean,made the playoffs for the first time in 20+ years and won in the playoffs for�� https://t.co/N9EMGbwgUk,,,,
EagleWilly22,Fri Jan 29 22:17:39 +0000 2021,-80.428864,37.229291,Yo,@NCAATrackField don't make @little_nobes do it again! You know he could,though. ??,,,
vivianphung,Fri Jan 29 22:17:40 +0000 2021,-73.968542,40.780709,https://t.co/szJ0dLr2oo,,,,,
londaa0,Fri Jan 29 22:18:06 +0000 2021,-75.785393,39.995291,Serious question is it a bad idea to hookup during a pandemic? Like if I wanted to go on a couple of dates or just�� https://t.co/K8uKRIYdWA,,,,,
_selenahoang,Fri Jan 29 22:18:08 +0000 2021,-121.87373,37.331159,oh,me lol,,,,
StevenDialFox4,Fri Jan 29 22:18:38 +0000 2021,-96.961483,32.863917,Dallas County has back to back deadliest weeks during the pandemic. 30 deaths today bringing this weeks total to 16�� https://t.co/l6U5igAXp1,,,,,
burndtjambx,Fri Jan 29 22:19:20 +0000 2021,-120.987468,37.663817,Oakdale holding a BBQ fundraiser to be able to hold a rodeo in the middle of a pandemic is the most Oakdale thing ever lmfao,,,,,
ChrisJLarson,Fri Jan 29 22:19:32 +0000 2021,-87.967292,43.056722,It��s pretty clear Republicans are going to use the pandemic to attack public schools.?Why?Because they use ever�� https://t.co/uGUJ0MlhBZ,,,,,
D_EdwardC,Fri Jan 29 22:19:41 +0000 2021,-123.358379,48.42673,@PastPostcard To be clear,Brighton is now experiencing a deadly pandemic,pulled out of all its trade agreements a�� https://t.co/mUaVZ2jGzH,,,
TRongen,Fri Jan 29 22:21:08 +0000 2021,-80.149173,26.150368,#EndGame They��re using the pandemic to try and not share the profits of World Cup 26 with the players. I imagine th�� https://t.co/2Way04OrgG,,,,,
thecorpmex,Fri Jan 29 22:21:40 +0000 2021,-95.446486,29.838495,@JohnCornyn Says the guy that ignores and trivializes hundreds of thousands of pandemic deaths.,,,,,
chrisdancy,Fri Jan 29 22:22:20 +0000 2021,-95.446486,29.838495,Can you imagine following me and not knowing how seriously I take the pandemic?,,,,,
